QueryType,QueryText,KccAns
Plant Protection,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Nutrient Management,Information regarding total fertilizer dose in wheat ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Nutrient Management,Information regarding the recommended dose of fertilizers for wheat ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Nutrient Management,Information regarding nutrient availability from single super phosphate ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Plant Protection,Information regarding control of fungus in paddy ,Spray amistar top 200 ml or nativo 80 gm in 200 litre
Varieties,Information regarding desi gram varieties for irrigated conditions ,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Sowing Time and Weather,Information regarding sowing time of gram crop,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Seeds,Information regarding seed treatment of gram with biofertilizers,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Plant Protection,Information regarding control of gram caterpillar in gram ,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Plant Protection,Information regarding contact no. of patiala kvk,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Plant Protection,Information regarding contact no. of chief agricultural officer of patiala,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Plant Protection,Information regarding control of army worm in maize ,To control of army worm spray 40 ml coragen and 80 ml decis in 80 litre of per water acre.
Plant Protection,Information regarding control of diseases(sheath blight or leaf blight),To control of army worm spray 40 ml coragen and 80 ml decis in 80 litre of per water acre.
Varieties,Information regarding the yield of about the timely sowing varieties of wheat,To control of army worm spray 40 ml coragen and 80 ml decis in 80 litre of per water acre.
Plant Protection,Information regarding the detail about hd-3226 and availability of seed of this variety ,"The average yield of wheat variety hd-3226 is 30 quintal per acre, matures in about 142 days and for purcahsing the seed of this variety contact with indian agricultural research institute, new delhi 011-25843375."
Seeds and Planting Material,Information regarding improved early maturing varieties of pea,"Apply 8tonnes fym ,45kg urea and 155kg single superphosphate in pea crop."
Nutrient Management,Information regarding manures and fertilizers used in pea crop,"Apply 8tonnes fym ,45kg urea and 155kg single superphosphate in pea crop."
Fertilizer Use and Availability,Information regarding the timing of fertilizer application in wheat crop,"In wheat crop apply half nitrogen at the time of preparatory final tillage, whole phosphorous and potash at the time of sowing and remaining amount of nitrogen applied before 7 days of first irrigation or 5 days after first irrigation but in the light soils applied half dose of nitrogen at the time of final preparatory tillage and remaining nitrogen after first and second irrigation in 2 equal installments."
Nutrient Management,Information regarding fertilizer doses in ber ,Information regarding fertilizer doses in ber ?apply 200 gram urea in month of august september and 200 gram urea in month of october .spray 15% potashium nitrate per litre of water 15 gram in month of november and month of january .
Varieties,Information regarding the detail about hd-3226 and availability of seed of this variety ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Varieties,Information regarding the yield of about the timely sowing varieties of wheat,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Varieties,Information regarding improved varieties of raya,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Varieties,Information regarding improved varieties of gobhi sarson,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Cultural Practices,Information regarding paddy straw management,After harvesting of paddy by combine harvester use paddy chopper shredder or mulcher then mb plough thereafter sowing can be done with happy seeder til drill or sowing of potato after mb ploughing.
Market Information,"Information regarding contact number of punjab agriculture university,ludhiana","Contact number of punjab agriculture university,ludhiana:- 0161-2401960."
Plant Protection,Information regarding control of leaf spot in cucumber ,Control of leaf spot in cucumber spray 600g indofil m-45 in 100-200lt of water per acre.
Plant Protection,Information regarding application of pesticide in paddy crop,No need to apply pesticide in last 15 days of paddy crop harvest.
Agriculture Mechanization,Information regarding seed treatment in sugarcane,Seed treatment in sugarcane dissolve 250ml tilt 25ec(propiconazole) in 100lt water per acre and take out seed sett immediately after dipping in solution.
Cultural Practices,Information regarding sowing time of pea,Seed rate in pea crop is 45kg for early mature and 30kg for main crop.
Cultural Practices,Information regarding seed rate in pea,Seed rate in pea crop is 45kg for early mature and 30kg for main crop.
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Varieties,Information regarding improved varieties of gobhi sarson,"To know about pradhan mantri kisan samman nidhi yojana log on to https://www.pmkisan.gov.in/ or contact 011-23381092,011-23382401,011-23382012"
Government Schemes,Query about pradhan mantri kisan samman nidhi yojana,For more information mantri kisan samman nidhi yojana log on to pmkisan.in or contact 011-23381092
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat ,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Nursery Management,Information regarding sowing time of cabbage ,Sowing time of cabbage is month of september to october .
Disease Management,Information regarding the contact no. of animal husbandry department of patiala,The contact no. of animal husbandry department of patiala is 0175-2360160.
Soil Testing,Information regarding the yield of about the timely sowing varieties of wheat,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Disease Reporting,"Information regarding contact no. of gadvasu, ludhiana","Contact no. of gadvasu, ludhiana:- 0161-2553394,0161-2414060."
Plant Protection,Information regarding the seed treatment of wheat to protect from termite ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Plant Protection,Information about leaf spot in okra,To control brown leaf spot disease in okra spray 400 gram bavistin per 200 litre (2 gram per litre) of water.repeat at the interval of 14 days.
Government Schemes,Information regarding contact no. of chief agricultural officer of patiala,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Government Schemes,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Seeds and Planting Material,Information regarding seed rate in pea,Seed rate in pea crop is 45kg for early mature and 30kg for main crop.
Varieties,Information regarding sowing time of gobhi sarson,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,For pre-emergence control of weeds in wheat spray 1.5 litres of stomp 30 ec (pendamethalin) or 60 gram awkira 85 wg(pyroxasulfone) or 1 litre of platform 38.5 se(pendimethalin 35%+metribuzin 3.5%) in 200 litres of water per acre within 2 days of sowing of wheat.
